trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
996,False,"{'a': 0.5, 'e': 1.0}",20,6,-53.61478843773639,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 0}",1
997,False,"{'a': 0.5, 'e': 1.0}",20,0,-78.56174343833712,"{0: 9, 1: 4, 2: 7, 3: 0, 4: 0}",0
998,False,"{'a': 0.5, 'e': 1.0}",20,0,-105.45539569612039,"{0: 9, 1: 0, 2: 11, 3: 0, 4: 0}",0
999,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.0981780763276,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
1000,False,"{'a': 0.5, 'e': 1.0}",20,0,-45.82260219877651,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
1001,False,"{'a': 0.5, 'e': 1.0}",20,0,-115.09027486569043,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
1002,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.44348536730865,"{0: 9, 1: 6, 2: 5, 3: 0, 4: 0}",0
1003,False,"{'a': 0.5, 'e': 1.0}",20,0,-50.94560909834244,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
1004,False,"{'a': 0.5, 'e': 1.0}",20,0,-47.86995782771877,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
1005,False,"{'a': 0.5, 'e': 1.0}",20,9,-32.453972284309614,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 0}",1
1006,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.21226871924452,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
1007,False,"{'a': 0.5, 'e': 1.0}",20,0,-34.64129986285197,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
1008,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.30605068912409,"{0: 10, 1: 1, 2: 9, 3: 0, 4: 0}",0
1009,False,"{'a': 0.5, 'e': 1.0}",20,0,-54.83406946986923,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
1010,False,"{'a': 0.5, 'e': 1.0}",20,0,-36.28255285795562,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
1011,False,"{'a': 0.5, 'e': 1.0}",20,6,-48.50686071526115,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 0}",1
1012,False,"{'a': 0.5, 'e': 1.0}",20,3,-9.12152817796398,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
1013,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.10896332412264,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
1014,False,"{'a': 0.5, 'e': 1.0}",20,9,-59.79372316359384,"{0: 4, 1: 1, 2: 6, 3: 0, 4: 0}",1
1015,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.74134679110342,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
1016,False,"{'a': 0.5, 'e': 1.0}",20,0,-53.04457925168517,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",1
1017,False,"{'a': 0.5, 'e': 1.0}",20,0,-70.25226289430252,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
1018,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.74206530195892,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
